Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Friday,06:00-09:00,20,1,60,10,10
Greedy Demand,Friday,06:00-09:00,20,1,60,12,3
Nearest Neighbor,Friday,06:00-09:00,20,2,60,22,20
Greedy Demand,Friday,06:00-09:00,20,2,60,27,9
Nearest Neighbor,Friday,06:00-09:00,20,3,60,31,28
Greedy Demand,Friday,06:00-09:00,20,3,60,34,12
Nearest Neighbor,Friday,06:00-09:00,20,4,60,37,36
Greedy Demand,Friday,06:00-09:00,20,4,60,50,20
Nearest Neighbor,Friday,06:00-09:00,20,5,60,44,44
Greedy Demand,Friday,06:00-09:00,20,5,60,64,27
Nearest Neighbor,Friday,06:00-09:00,20,1,90,16,15
Greedy Demand,Friday,06:00-09:00,20,1,90,24,7
Nearest Neighbor,Friday,06:00-09:00,20,2,90,30,29
Greedy Demand,Friday,06:00-09:00,20,2,90,48,19
Nearest Neighbor,Friday,06:00-09:00,20,3,90,40,42
Greedy Demand,Friday,06:00-09:00,20,3,90,70,30
Nearest Neighbor,Friday,06:00-09:00,20,4,90,49,55
Greedy Demand,Friday,06:00-09:00,20,4,90,86,39
Nearest Neighbor,Friday,06:00-09:00,20,5,90,58,65
Greedy Demand,Friday,06:00-09:00,20,5,90,98,49
Nearest Neighbor,Friday,06:00-09:00,20,1,120,21,20
Greedy Demand,Friday,06:00-09:00,20,1,120,34,12
Nearest Neighbor,Friday,06:00-09:00,20,2,120,38,38
Greedy Demand,Friday,06:00-09:00,20,2,120,65,28
